# date day_of_year time_UT signal_power
29-08-2020 242 1.016667 -3682.0
29-08-2020 242 1.033333 -3514.0
29-08-2020 242 1.050000 -3528.0
29-08-2020 242 1.066667 -3573.0
29-08-2020 242 1.083333 -3218.0
29-08-2020 242 1.100000 -3595.0
29-08-2020 242 1.116667 -3577.0
29-08-2020 242 1.133333 -3606.0
29-08-2020 242 1.150000 -3605.0
29-08-2020 242 1.166667 -3673.0
29-08-2020 242 1.183333 -3607.0
29-08-2020 242 1.200000 -3576.0
29-08-2020 242 1.216667 -3693.0
29-08-2020 242 1.233333 -3663.0
29-08-2020 242 1.250000 -3704.0
29-08-2020 242 1.266667 -3707.0
29-08-2020 242 1.283333 -3684.0
29-08-2020 242 1.300000 -3621.0
29-08-2020 242 1.316667 -3656.0
29-08-2020 242 1.333333 -3610.0
29-08-2020 242 1.350000 -3659.0
29-08-2020 242 1.366667 -3688.0
29-08-2020 242 1.383333 -3611.0
29-08-2020 242 1.400000 -3629.0
29-08-2020 242 1.416667 -3566.0
29-08-2020 242 1.433333 -3754.0
29-08-2020 242 1.450000 -3571.0
29-08-2020 242 1.466667 -3600.0
29-08-2020 242 1.483333 -3518.0
29-08-2020 242 1.500000 -3349.0
29-08-2020 242 1.516667 -3605.0
29-08-2020 242 1.533333 -3617.0
29-08-2020 242 1.550000 -3534.0
29-08-2020 242 1.566667 -3588.0
29-08-2020 242 1.583333 -3635.0
29-08-2020 242 1.600000 -3524.0
29-08-2020 242 1.616667 -3650.0
29-08-2020 242 1.633333 -3469.0
29-08-2020 242 1.650000 -3631.0
29-08-2020 242 1.666667 -3569.0
29-08-2020 242 1.683333 -3585.0
29-08-2020 242 1.700000 -3572.0
29-08-2020 242 1.716667 -3591.0
29-08-2020 242 1.733333 -3560.0
29-08-2020 242 1.750000 -3621.0
29-08-2020 242 1.766667 -3594.0
29-08-2020 242 1.783333 -3556.0
29-08-2020 242 1.800000 -3599.0
29-08-2020 242 1.816667 -3591.0
29-08-2020 242 1.833333 -3548.0
29-08-2020 242 1.850000 -3497.0
29-08-2020 242 1.866667 -3467.0
29-08-2020 242 1.883333 -3514.0
29-08-2020 242 1.900000 -3549.0
29-08-2020 242 1.916667 -3623.0
29-08-2020 242 1.933333 -3698.0
29-08-2020 242 1.950000 -3651.0
29-08-2020 242 1.966667 -3742.0
29-08-2020 242 1.983333 -3558.0
29-08-2020 242 2.000000 -3623.0
29-08-2020 242 2.016667 -3654.0
29-08-2020 242 2.033333 -3633.0
29-08-2020 242 2.050000 -3627.0
29-08-2020 242 2.066667 -3631.0
29-08-2020 242 2.083333 -3616.0
29-08-2020 242 2.100000 -3612.0
29-08-2020 242 2.116667 -3551.0
29-08-2020 242 2.133333 -3544.0
29-08-2020 242 2.150000 -3625.0
29-08-2020 242 2.166667 -3696.0
29-08-2020 242 2.183333 -3532.0
29-08-2020 242 2.200000 -3622.0
29-08-2020 242 2.216667 -3556.0
29-08-2020 242 2.233333 -3552.0
29-08-2020 242 2.250000 -3549.0
29-08-2020 242 2.266667 -3569.0
29-08-2020 242 2.283333 -3636.0
29-08-2020 242 2.300000 -3510.0
29-08-2020 242 2.316667 -3538.0
29-08-2020 242 2.333333 -3601.0
29-08-2020 242 2.350000 -3542.0
29-08-2020 242 2.366667 -3352.0
29-08-2020 242 2.383333 -3608.0
29-08-2020 242 2.400000 -3567.0
29-08-2020 242 2.416667 -3647.0
29-08-2020 242 2.433333 -3624.0
29-08-2020 242 2.450000 -3640.0
29-08-2020 242 2.466667 -3578.0
29-08-2020 242 2.483333 -3549.0
29-08-2020 242 2.500000 -3535.0
29-08-2020 242 2.516667 -3606.0
29-08-2020 242 2.533333 -3536.0
29-08-2020 242 2.550000 -2877.0
29-08-2020 242 2.566667 -3510.0
29-08-2020 242 2.583333 -3551.0
29-08-2020 242 2.600000 -3562.0
29-08-2020 242 2.616667 -3474.0
29-08-2020 242 2.633333 -3649.0
29-08-2020 242 2.650000 -3551.0
29-08-2020 242 2.666667 -3533.0
29-08-2020 242 2.683333 -3662.0
29-08-2020 242 2.700000 -3485.0
29-08-2020 242 2.716667 -3456.0
29-08-2020 242 2.733333 -3448.0
29-08-2020 242 2.750000 -3657.0
29-08-2020 242 2.766667 -3656.0
29-08-2020 242 2.783333 -3530.0
29-08-2020 242 2.800000 -3560.0
29-08-2020 242 2.816667 -3550.0
29-08-2020 242 2.833333 -3626.0
29-08-2020 242 2.850000 -3664.0
29-08-2020 242 2.866667 -3571.0
29-08-2020 242 2.883333 -3573.0
29-08-2020 242 2.900000 -3525.0
29-08-2020 242 2.916667 -3597.0
29-08-2020 242 2.933333 -3379.0
29-08-2020 242 2.950000 -3580.0
29-08-2020 242 2.966667 -3577.0
29-08-2020 242 2.983333 -3546.0
29-08-2020 242 3.000000 -3555.0
29-08-2020 242 3.016667 -3592.0
29-08-2020 242 3.033333 -3580.0
29-08-2020 242 3.050000 -3501.0
29-08-2020 242 3.066667 -3528.0
29-08-2020 242 3.083333 -3552.0
29-08-2020 242 3.100000 -3575.0
29-08-2020 242 3.116667 -3604.0
29-08-2020 242 3.133333 -3516.0
29-08-2020 242 3.150000 -3492.0
29-08-2020 242 3.166667 -3599.0
29-08-2020 242 3.183333 -3735.0
29-08-2020 242 3.200000 -3525.0
29-08-2020 242 3.216667 -3537.0
29-08-2020 242 3.233333 -3536.0
29-08-2020 242 3.250000 -3558.0
29-08-2020 242 3.266667 -3686.0
29-08-2020 242 3.283333 -3508.0
29-08-2020 242 3.300000 -3617.0
29-08-2020 242 3.316667 -3468.0
29-08-2020 242 3.333333 -3597.0
29-08-2020 242 3.350000 -3513.0
29-08-2020 242 3.366667 -3698.0
29-08-2020 242 3.383333 -3417.0
29-08-2020 242 3.400000 -3560.0
29-08-2020 242 3.416667 -3547.0
29-08-2020 242 3.433333 -3547.0
29-08-2020 242 3.450000 -3522.0
29-08-2020 242 3.466667 -3597.0
29-08-2020 242 3.483333 -3534.0
29-08-2020 242 3.500000 -3529.0
29-08-2020 242 3.516667 -3567.0
29-08-2020 242 3.533333 -3533.0
29-08-2020 242 3.550000 -3674.0
29-08-2020 242 3.566667 -3552.0
29-08-2020 242 3.583333 -3574.0
29-08-2020 242 3.600000 -3606.0
29-08-2020 242 3.616667 -3614.0
29-08-2020 242 3.633333 -3510.0
29-08-2020 242 3.650000 -3609.0
29-08-2020 242 3.666667 -3536.0
29-08-2020 242 3.683333 -3557.0
29-08-2020 242 3.700000 -3519.0
29-08-2020 242 3.716667 -3601.0
29-08-2020 242 3.733333 -3530.0
