# Date DOY Kp_sum_01_16
2020-08-29 242 14.333
2020-08-30 243 12.333
2020-08-31 244 23.334
2020-09-01 245 19.667
2020-09-02 246 14.667
2020-09-03 247 3.667
2020-09-04 248 11.0
2020-09-05 249 8.667
2020-09-06 250 5.666
2020-09-07 251 6.0
2020-09-08 252 5.0
2020-09-09 253 1.0
2020-09-10 254 0.999
2020-09-11 255 1.333
2020-09-12 256 6.999
2020-09-13 257 6.999
2020-09-14 258 15.666
2020-09-15 259 7.999
2020-09-16 260 3.333
2020-09-17 261 2.666
2020-09-18 262 5.334
2020-09-19 263 2.667
2020-09-20 264 4.0
2020-09-21 265 1.332
2020-09-22 266 9.001
2020-09-23 267 11.668
2020-09-24 268 22.0
2020-09-25 269 16.999
2020-09-26 270 23.668
2020-09-27 271 14.001
2020-09-28 272 24.334
2020-09-29 273 19.0
2020-09-30 274 17.001
2020-10-01 275 14.666
2020-10-02 276 12.0
2020-10-03 277 7.334
2020-10-04 278 5.334
2020-10-05 279 8.332
2020-10-06 280 9.0
2020-10-07 281 5.999
2020-10-08 282 2.333
2020-10-09 283 0.666
2020-10-10 284 1.334
2020-10-11 285 1.666
2020-10-12 286 2.333
2020-10-13 287 3.0
2020-10-14 288 0.0
2020-10-15 289 0.333
2020-10-16 290 4.668
2020-10-17 291 6.334
2020-10-18 292 1.999
2020-10-19 293 9.0
2020-10-20 294 5.333
2020-10-21 295 11.667
2020-10-22 296 5.999
2020-10-23 297 7.666
